turn,player_move,player_result,bot_move,bot_result
1,1-4,MISS,3-6,MISS
2,5-5,MISS,1-0,MISS
3,5-6,MISS,3-3,MISS
4,8-4,HIT,3-7,MISS
5,8-1,HIT,1-7,MISS
6,8-2,MISS,0-3,MISS
7,8-3,HIT,7-4,MISS
8,1-0,HIT,3-0,MISS
9,1-9,HIT,3-1,HIT
10,6-3,HIT,8-5,HIT
11,5-9,HIT,6-4,MISS
12,6-6,HIT,1-8,MISS
13,6-5,HIT,7-2,MISS
14,8-9,HIT,0-1,MISS
15,7-9,HIT,2-5,MISS
16,2-7,HIT,1-2,MISS
17,1-7,HIT,0-5,MISS
18,0-7,HIT,2-9,MISS
19,9-1,HIT,1-4,MISS
20,7-1,HIT,5-4,MISS
21,4-5,HIT,1-6,HIT
22,4-4,HIT,6-9,MISS
23,4-3,HIT,5-9,MISS
